run_accession	sample_accession	sample_title	bioproject	role	arm	tissue	library_type	sex	age_class	subject_biopsy	super_pop	pop	library_layout	read_length	read_count	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
ERR188158	SAMEA1573209	NA18502	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	56870036	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188158/ERR188158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188158/ERR188158_2.fastq.gz	580443c6e0a41d297c8c02e2695d096a;97767571257458ad74b0408095845bd4	4113232184;4125171632
ERR188292	SAMEA1573427	NA19189	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	75.0	33381955	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188292/ERR188292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188292/ERR188292_2.fastq.gz	9137de3e9bc6b3c882f4a99158bf01f4;63a2a1b8f84598c58b12843870d3cc9b	2367482928;2374575913
ERR188394	SAMEA1573325	NA20813	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	TSI	PAIRED	75.0	34016371	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188394/ERR188394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188394/ERR188394_2.fastq.gz	7d813a6505ded85aaa4bee6e42c30bdd;5cd67e6483d83a9bdf23c75be2972ec5	2372032377;2396983841
ERR188460	SAMEA1573488	NA19153	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	75.0	35770368	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188460/ERR188460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188460/ERR188460_2.fastq.gz	97499351767215d95803d866e20ec6a5;73969bd85a5dc4ed4104dbe4ebf038e9	2575459113;2600055572
ERR188047	SAMEA1573294	NA06994	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	CEU	PAIRED	76.0	37875642	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188047/ERR188047_2.fastq.gz	1ee5141a6e25b157945146873c9dbf7e;300a284ea239de84003a42788e38e5a2	2826320378;2857708107
ERR188322	SAMEA1573105	NA19190	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	28704909	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188322/ERR188322_2.fastq.gz	47315523e6a2fbcf7686e6f2891770a8;c8684361ec3dbbb2d82ce0c1f1d0d493	2035605976;2022446029
ERR188097	SAMEA1573228	NA18511	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	53793587	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188097/ERR188097_2.fastq.gz	c38d20682763b0a44d926350deb6386a;57020c0858e6875e8ef8c36c584d12f1	3854914368;3880733377
ERR188045	SAMEA1573276	HG00321	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	FIN	PAIRED	76.0	31571991	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188045/ERR188045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188045/ERR188045_2.fastq.gz	c49acf0faed37a8ec2e9484198a8329b;5662a651378486f242a5d4131003b778	2350625335;2373103218
SRR27179070	SAMN38766797	VAS331-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	VAS331-1B			PAIRED	101.0	42683207	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/070/SRR27179070/SRR27179070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/070/SRR27179070/SRR27179070_2.fastq.gz	a0261d3fd97f1dc65a7e7aaa6818ed18;5a2f5aaa9bb1533ef393b24e80214fab	1449104097;1264948879
SRR27179128	SAMN38766831	RIE102-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	RIE102-1B			PAIRED	101.0	56519132	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/028/SRR27179128/SRR27179128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/028/SRR27179128/SRR27179128_2.fastq.gz	a7fa7dd725558a38383ea544db929379;7ac496da8b9fb9ead4282864057e80ca	1860817376;1722623367
SRR27179223	SAMN38766792	VU819-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	young	VU819-1B			PAIRED	101.0	49630713	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/023/SRR27179223/SRR27179223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/023/SRR27179223/SRR27179223_2.fastq.gz	063bcaf85eec9e2d06b0b730a791fa14;7de255107d35aaa29668a5a58f68a2ce	1481818547;1586200345
SRR27179207	SAMN38766958	ARM897-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	female	older	ARM897-1B			PAIRED	101.0	56485405	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/007/SRR27179207/SRR27179207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/007/SRR27179207/SRR27179207_2.fastq.gz	b965f1fc87f585ead6062595ffc236e5;12aeb04fa34540af6642061890710f7d	1754564283;1851213866
SRR27179235	SAMN38766900	DUD877-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	young	DUD877-1B			PAIRED	101.0	51001656	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/035/SRR27179235/SRR27179235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/035/SRR27179235/SRR27179235_2.fastq.gz	d40f7bd62183355671d11f8adf44f367;f967bd97200f1e514b58f00cf7d855ef	1621230109;1606936761
SRR27179099	SAMN38766874	HOO343-1B	PRJNA1051137	replication	high_mt	skeletal_muscle	polyA	male	older	HOO343-1B			PAIRED	101.0	48222428	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/099/SRR27179099/SRR27179099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/099/SRR27179099/SRR27179099_2.fastq.gz	474904bddcd81c198780f5da623c7fa0;f33fbcae609d9a3408d1f3e9d88fc0e4	1502538827;1453377073
