run_accession	mapq_min	mean_rel_delta	max_rel_delta	positions_ge_5pct	tissue	role
ERR188325	255	0.22435236569506103	17.766497872637906	3416	lcl	primary
ERR188331	0	0.23232372349500996	26.546116586304596	2807	lcl	primary
ERR188331	255	0.3321211938914699	27.495563653891246	3529	lcl	primary
ERR188351	0	0.16547352655415676	13.336851762987095	2738	lcl	primary
ERR188351	255	0.25124741553219254	14.260259079501639	3538	lcl	primary
ERR188375	0	0.19399537997676397	17.620026538409952	2800	lcl	primary
ERR188375	255	0.30237890570874343	21.168050504561368	3342	lcl	primary
ERR188394	0	0.14371250794081453	11.073658582814872	2750	lcl	primary
ERR188394	255	0.22463179296886096	11.76177331588583	3535	lcl	primary
ERR188409	0	0.24382576886255428	14.455319591221363	3299	lcl	primary
ERR188409	255	0.48155418000291644	26.47463587324374	3867	lcl	primary
ERR188414	0	0.1726694525671267	15.820919138981118	2751	lcl	primary
ERR188414	255	0.2711512056989247	16.56366043160615	3409	lcl	primary
ERR188451	0	0.20503996150004955	16.38429236092086	3270	lcl	primary
ERR188451	255	0.32831075767427187	17.273884199362964	3835	lcl	primary
ERR188454	0	0.24704094426200332	16.62079425486175	3284	lcl	primary
ERR188454	255	0.4633575176914373	22.50011166645277	3883	lcl	primary
ERR188460	0	0.15841367877157916	14.365242134306783	2947	lcl	primary
ERR188460	255	0.22945235064007727	15.318221088990072	3643	lcl	primary
ERR204823	0	0.08893655929217278	5.649597931024704	2903	lcl	primary
ERR204823	255	0.13686658969203516	6.224514531886615	3553	lcl	primary
SRR27179070	0	0.14260486779298207	9.23540718844962	2507	skeletal_muscle	replication
SRR27179070	255	0.22434655574310644	10.322596527937257	3050	skeletal_muscle	replication
SRR27179075	0	0.13301838905327346	8.997629124538795	2648	skeletal_muscle	replication
SRR27179075	255	0.21085101609248535	9.791225417588228	3377	skeletal_muscle	replication
SRR27179078	0	0.1257198369585152	8.024274039786354	2331	skeletal_muscle	replication
SRR27179078	255	0.1972858229753222	8.858813432715367	2862	skeletal_muscle	replication
SRR27179084	0	0.1328957355508764	8.87061691617893	2387	skeletal_muscle	replication
SRR27179084	255	0.2036323775571339	9.975887230417017	2930	skeletal_muscle	replication
SRR27179086	0	0.12117979182489279	7.779893573595377	2483	skeletal_muscle	replication
SRR27179086	255	0.19554625296220965	8.538430118673425	3093	skeletal_muscle	replication
SRR27179090	0	0.12191595701471794	7.6135723554710495	2459	skeletal_muscle	replication
SRR27179090	255	0.2009509717444826	8.248667684078958	3027	skeletal_muscle	replication
SRR27179092	0	0.13603577274061493	9.0112419604007	2522	skeletal_muscle	replication
SRR27179092	255	0.2149128126142191	9.924275155033355	3140	skeletal_muscle	replication
SRR27179097	0	0.12622023666646007	8.638592330912187	2328	skeletal_muscle	replication
SRR27179097	255	0.2027972937772355	9.412079797607253	2966	skeletal_muscle	replication
SRR27179099	0	0.09693133791139093	4.864333579929045	2333	skeletal_muscle	replication
SRR27179099	255	0.146678456251087	5.324217176012893	2882	skeletal_muscle	replication
SRR27179111	0	0.09732198075450553	5.573419271412209	2262	skeletal_muscle	replication
SRR27179111	255	0.14696954077821106	6.018240713372749	2791	skeletal_muscle	replication
SRR27179118	0	0.11976559863337406	7.427352019483765	2403	skeletal_muscle	replication
SRR27179118	255	0.19320687098821152	8.094794909791787	3091	skeletal_muscle	replication
SRR27179124	0	0.08714612488419063	4.9585444651109185	1898	skeletal_muscle	replication
SRR27179124	255	0.141428568214611	5.032884315785629	2495	skeletal_muscle	replication
SRR27179128	0	0.1298722321114492	8.797491060311698	2374	skeletal_muscle	replication
SRR27179128	255	0.20225009073835568	9.56683223054254	2913	skeletal_muscle	replication
SRR27179135	0	0.12378343056533986	7.72090699601414	2365	skeletal_muscle	replication
SRR27179135	255	0.19046062349035783	8.397331383157889	2890	skeletal_muscle	replication
SRR27179144	0	0.1104742839673833	7.43957426324698	2177	skeletal_muscle	replication
SRR27179144	255	0.1721244026585249	8.184704664575639	2770	skeletal_muscle	replication
SRR27179146	0	0.11448977469774989	7.409413072380249	2275	skeletal_muscle	replication
SRR27179146	255	0.18052867088417773	8.218864363424368	2814	skeletal_muscle	replication
SRR27179148	0	0.21794329967092083	10.791374130421044	2333	skeletal_muscle	replication
SRR27179148	255	0.35043193966299213	22.028425927848005	2888	skeletal_muscle	replication
SRR27179168	0	0.13888399247189723	9.351577652892416	2443	skeletal_muscle	replication
SRR27179168	255	0.21376417515137677	10.266710849125088	3043	skeletal_muscle	replication
SRR27179170	0	0.08103290279755349	4.726220290097493	1834	skeletal_muscle	replication
SRR27179170	255	0.13749688495928009	5.189669277152956	2538	skeletal_muscle	replication
SRR27179193	0	0.14100734622066394	9.874715479102845	2421	skeletal_muscle	replication
SRR27179193	255	0.21635864633654855	11.15474647531272	2966	skeletal_muscle	replication
SRR27179196	0	0.14436898420727198	11.393418768878988	2418	skeletal_muscle	replication
SRR27179196	255	0.22345418800739475	12.638503220032387	3026	skeletal_muscle	replication
SRR27179199	0	0.10268709379122783	6.456925062737184	2146	skeletal_muscle	replication
SRR27179199	255	0.16577635737771915	6.644666709474441	2701	skeletal_muscle	replication
SRR27179201	0	0.11409823227801806	7.398333844155148	2317	skeletal_muscle	replication
SRR27179201	255	0.17529695187817707	8.214089699087031	2939	skeletal_muscle	replication
SRR27179207	0	0.12119206009232975	8.905572548792767	2230	skeletal_muscle	replication
SRR27179207	255	0.19305595674372336	9.788172000076488	2830	skeletal_muscle	replication
SRR27179220	0	0.13722745849233878	8.752119672455153	2526	skeletal_muscle	replication
SRR27179220	255	0.21130082282884521	9.600547842269366	3077	skeletal_muscle	replication
SRR27179223	0	0.13050313071729255	8.63447824180705	2427	skeletal_muscle	replication
SRR27179223	255	0.2049141241265015	9.464259962782002	3041	skeletal_muscle	replication
SRR27179229	0	0.10745337598879812	7.056271387103884	2311	skeletal_muscle	replication
SRR27179229	255	0.1644238031046178	7.631316474755399	2820	skeletal_muscle	replication
SRR27179235	0	0.1165573294986787	8.1193930612471	2174	skeletal_muscle	replication
SRR27179235	255	0.18377010683399977	8.947726693560966	2805	skeletal_muscle	replication
SRR27179238	0	0.11770001580535995	7.443643425716985	2355	skeletal_muscle	replication
SRR27179238	255	0.18102557795253363	8.146911006273108	2900	skeletal_muscle	replication
SRR27179251	0	0.14981132086620064	11.564056577648397	2473	skeletal_muscle	replication
SRR27179251	255	0.2386442800267835	12.87800728223736	2975	skeletal_muscle	replication
